beta,alpha,tau,seed,rep,community_id,community_size,degree_opinion_corr
0.5,0.0,0.0,1611438112353069531,1,1,101,-0.472736851881472
0.5,0.0,0.0,1611438112353069531,1,2,114,-0.6079444170465852
0.5,0.0,0.0,1611438112353069531,1,3,91,-0.4772719902938317
0.5,0.0,0.0,1611438112353069531,1,4,65,-0.6896487003308369
0.5,0.0,0.0,1611438112353069531,1,5,125,-0.5558907363658064
0.5,0.0,0.0,1611438112353069531,1,6,101,-0.48974364174384244
0.5,0.0,0.0,1611438112353069531,1,7,106,-0.5650661859142269
0.5,0.0,0.0,1611438112353069531,1,8,65,-0.6734795296558255
0.5,0.0,0.0,1611438112353069531,1,9,68,-0.6494296085120539
0.5,0.0,0.0,1611438112353069531,1,10,63,-0.6707251956420808
0.5,0.0,0.0,7494202958693546329,2,1,141,-0.5065434501927544
0.5,0.0,0.0,7494202958693546329,2,2,89,-0.6019303144678037
0.5,0.0,0.0,7494202958693546329,2,3,113,-0.6045387300215722
0.5,0.0,0.0,7494202958693546329,2,4,115,-0.4734266612100963
0.5,0.0,0.0,7494202958693546329,2,5,104,-0.5498846719114658
0.5,0.0,0.0,7494202958693546329,2,6,127,-0.569263315680285
0.5,0.0,0.0,7494202958693546329,2,7,114,-0.57635754917092
0.5,0.0,0.0,7494202958693546329,2,8,94,-0.6654195429888081
0.5,0.0,0.0,13374477649566635846,3,1,109,-0.6069733373055832
0.5,0.0,0.0,13374477649566635846,3,2,101,-0.666135117657041
0.5,0.0,0.0,13374477649566635846,3,3,95,-0.6445443034976177
0.5,0.0,0.0,13374477649566635846,3,4,64,-0.48193487811669683
0.5,0.0,0.0,13374477649566635846,3,5,108,-0.5830740360778021
0.5,0.0,0.0,13374477649566635846,3,6,65,-0.5850701754344415
0.5,0.0,0.0,13374477649566635846,3,7,97,-0.4935498629989047
0.5,0.0,0.0,13374477649566635846,3,8,67,-0.5453601218186218
0.5,0.0,0.0,13374477649566635846,3,9,97,-0.630830834802666
0.5,0.0,0.0,13374477649566635846,3,10,109,-0.6042509212936648
0.5,0.0,0.0,812388289413059690,4,1,144,-0.618548972284706
0.5,0.0,0.0,812388289413059690,4,2,122,-0.6546654816093646
0.5,0.0,0.0,812388289413059690,4,3,84,-0.539355159706404
0.5,0.0,0.0,812388289413059690,4,4,117,-0.44990028522038594
0.5,0.0,0.0,812388289413059690,4,5,140,-0.6024988485785833
0.5,0.0,0.0,812388289413059690,4,6,71,-0.679272439186292
0.5,0.0,0.0,812388289413059690,4,7,112,-0.5978789695183284
0.5,0.0,0.0,812388289413059690,4,8,112,-0.6576280242479975
0.5,0.0,0.0,6692048486429922453,5,1,98,-0.6286881024212477
0.5,0.0,0.0,6692048486429922453,5,2,61,-0.623908961067888
0.5,0.0,0.0,6692048486429922453,5,3,85,-0.6059162580970027
0.5,0.0,0.0,6692048486429922453,5,4,114,-0.6812958883625082
0.5,0.0,0.0,6692048486429922453,5,5,97,-0.5503267269936275
0.5,0.0,0.0,6692048486429922453,5,6,108,-0.5041722571839319
0.5,0.0,0.0,6692048486429922453,5,7,91,-0.5992216589155122
0.5,0.0,0.0,6692048486429922453,5,8,101,-0.5638906181197997
0.5,0.0,0.0,6692048486429922453,5,9,93,-0.6077671686589223
0.5,0.0,0.0,6692048486429922453,5,10,58,-0.49957885875233765
0.5,0.0,0.0,12577315606488017839,6,1,79,-0.6797907881162348
0.5,0.0,0.0,12577315606488017839,6,2,87,-0.5914290369763633
0.5,0.0,0.0,12577315606488017839,6,3,86,-0.6269465302944861
0.5,0.0,0.0,12577315606488017839,6,4,119,-0.5448079043332461
0.5,0.0,0.0,12577315606488017839,6,5,94,-0.6696992839319249
0.5,0.0,0.0,12577315606488017839,6,6,63,-0.48807244505539654
0.5,0.0,0.0,12577315606488017839,6,7,100,-0.6215991944084515
0.5,0.0,0.0,12577315606488017839,6,8,118,-0.508880927199843
0.5,0.0,0.0,12577315606488017839,6,9,100,-0.5821392735563267
0.5,0.0,0.0,12577315606488017839,6,10,62,-0.6542146067974013
0.5,0.0,0.0,9571082220517924,7,1,86,-0.718968431051368
0.5,0.0,0.0,9571082220517924,7,2,95,-0.6661451516638206
0.5,0.0,0.0,9571082220517924,7,3,90,-0.6519745103293988
0.5,0.0,0.0,9571082220517924,7,4,85,-0.45065532849010687
