trial,sigma,s,threshold,delta,sigma_eff,certified,min_mode_count,min_margin,success
1,1.1776070738855653,0.5621445797445759,0.3605530657836037,0.016994424158601862,0.4,true,2,0.005155963119242185,true
2,1.0864442860596906,0.6934442131414564,0.42359915391059205,0.022073905457987847,0.4,true,2,0.006044368304455122,true
3,1.2040076873836978,0.4697060231657771,0.3449145257716309,0.00868802088638368,0.3,true,2,0.0037581201106741957,true
4,1.1680869350005065,0.6269060615128061,0.3664541729642196,0.023774271073118386,0.4,true,2,0.009372659005472767,true
5,1.0742186544810224,0.5941245745818113,0.4332959448254958,0.01013412324415816,0.3,true,2,0.0031797878246989375,true
6,1.1966860235716221,0.6017944742343841,0.34914800648294986,0.023759900807538842,0.4,true,2,0.010026371682596208,true
7,1.0055887537408088,0.6467827691819944,0.494457750814286,0.008056354896995799,0.2,true,2,0.004594046547428315,true
8,1.1095228450097012,0.5104665476659309,0.4061603333342138,0.005418204969215468,0.2,true,2,0.003163946308524873,true
9,0.9635944674765763,0.6702164643156566,0.5384946696144833,0.005751511995256642,0.1,true,2,0.004885839690591198,true
10,1.0541547538835594,0.6608165361836154,0.44994689698745094,0.01471113336077437,0.3,true,2,0.006003064939641867,true
11,0.8483461152839413,0.9138873470047564,0.6947424780471839,0.009920077811071348,0.2,true,2,0.004163690994165414,true
12,0.9179053200876387,0.8355748055122854,0.5934364668830363,0.013722254985738647,0.2,true,2,0.008088791103928017,true
13,1.0386240193207898,0.6288047345570541,0.46350378024235234,0.00984684847480935,0.2,true,2,0.006272230566081088,true
14,1.0604761083108185,0.7564409174872266,0.4445987394539876,0.025733687232560393,0.4,true,2,0.0075296014760829755,true
15,0.991779007227645,0.7405131421483446,0.5083234926156049,0.015052705278026046,0.3,true,2,0.005013248015028282,true
16,0.9931461153756507,0.6295631455484387,0.5069249977210818,0.005477920074447917,0.2,true,2,0.0025243226177790734,true
17,1.2331896410244105,0.5093172823059444,0.3287836923867262,0.015818218460222744,0.4,true,2,0.005396919914338882,true
18,0.8181113300235249,0.8484624435173741,0.7470422933665921,0.0024260067732617685,0.1,true,2,0.001581857680312937,true
19,1.1982547973227922,0.561090091341398,0.348234384976077,0.018912922643325003,0.4,true,2,0.0067967447665803205,true
20,1.2279357845770615,0.4562776134023949,0.331603184643712,0.009044313229517709,0.3,true,2,0.004194592646933087,true
21,1.1163474133409754,0.6061412502403238,0.40120955138237646,0.015754101129985876,0.3,true,2,0.007817468612460687,true
22,1.3123405742708152,0.41723590879930406,0.2903199575407166,0.01065377498741285,0.4,true,2,0.003306536154933537,true
23,0.9777079137546597,0.8729752615480793,0.5230602817607035,0.026206203167821046,0.4,true,2,0.004693856669722329,true
24,1.01364630304788,0.7641269404013595,0.48662803215876965,0.0202991264592072,0.3,true,2,0.00913231388445232,true
